inventor_id,name,country
fl:yo_ln:kimura-10,Youichi Kimura,Unknown
fl:em_ln:cooper-4,Emanuel I. Cooper,Unknown
fl:lu_ln:michas-2,Luke William Michas,Unknown
fl:ch_ln:obosu-1,Charles B. Obosu,Unknown
fl:we_ln:schiffman-1,Wendela Schiffman,Unknown
fl:ch_ln:cao-100,Chong Cao,Unknown
fl:al_ln:brooker-1,Alan Thomas Brooker,Unknown
fl:no_ln:nambu-1,Nobuyoshi Nambu,Unknown
fl:te_ln:tang-13,Teng-Yen Tang,Unknown
fl:jo_ln:heinke-1,Joel Heinke,Unknown
fl:mo_ln:soni-3,Mohit Soni,Unknown
fl:ka_ln:prevratil-1,Karyne Poissant Prevratil,Unknown
fl:ge_ln:lysy-1,George C. Lysy,Unknown
fl:jo_ln:panigot-1,Joseph E. Panigot,Unknown
fl:ke_ln:chan-28,Kevin K. Chan,Unknown
fl:ta_ln:fukuoka-15,Takahiro Fukuoka,Unknown
fl:fe_ln:schreder-2,Felix Schreder,Unknown
fl:yu_ln:tanaka-23,Yuji Tanaka,Unknown
fl:ni_ln:damour-2,Nicole Miller Damour,Unknown
fl:wi_ln:patterson-6,William R. Patterson,Unknown
fl:ko_ln:kaplanis-1,Kostas Kaplanis,Unknown
fl:to_ln:nagano-7,Toshihiko Nagano,Unknown
fl:de_ln:babin-2,Denis Babin,Unknown
fl:ho_ln:chen-82,Hongkai CHEN,Unknown
fl:co_ln:gardner-1,Cornel Lewis Gardner,Unknown
fl:in_ln:stuckert-1,Ines C. Stuckert,Unknown
fl:de_ln:wong-18,Denny Wong,Unknown
000rzeceuzox3ciyjtnl2qzx0,Johannes Adrianes Maria Dofferhoff,Unknown
fl:sh_ln:saito-23,Shinji Saito,Unknown
fl:sh_ln:tsuda-23,Shingo Tsuda,Unknown
fl:ja_ln:lewin-2,Jason Lewin,Unknown
fl:yo_ln:namizuka-1,Yoshiyuki Namizuka,Unknown
fl:ke_ln:fukushima-17,Keisuke Fukushima,Unknown
000s9qy0x4l3x4n99bv2a1qn4,April A. Barbour,Unknown
fl:je_ln:bernard-11,Jean-Rene Bernard,Unknown
fl:ku_ln:ulmer-2,Kurt Ulmer,Unknown
fl:ig_ln:skvirsky-1,Igor Skvirsky,Unknown
fl:da_ln:wilson-63,David Matthew Wilson,Unknown
fl:se_ln:chae-31,Seung Wan Chae,Unknown
fl:sr_ln:komarneni-1,Sridhar Komarneni,Unknown
fl:ro_ln:caruso-3,Robert Caruso,Unknown
fl:th_ln:loga-1,Thomas Henry Loga,Unknown
fl:jo_ln:priede-1,Jonas Calleja PRIEDE,Unknown
fl:pu_ln:shah-11,Pulkit Shah,Unknown
fl:ma_ln:imafuku-2,Masayuki Imafuku,Unknown
fl:da_ln:basulto-1,David Basulto,Unknown
fl:xi_ln:wu-315,Xin Wu,Unknown
fl:so_ln:carlson-1,Sonia P. Carlson,Unknown
fl:ro_ln:waggener-1,Robert G. Waggener,Unknown
fl:ka_ln:sawada-27,Kazuhide Sawada,Unknown
fl:ju_ln:sauer-5,Jude S. Sauer,Unknown
fl:ro_ln:brill-2,Robert Brill,Unknown
fl:ka_ln:fink-4,Kaitlin Elizabeth FINK,Unknown
fl:po_ln:lin-79,Po-Kang Lin,Unknown
fl:ke_ln:jeffcoat-2,Keith Jeffcoat,Unknown
fl:ch_ln:ulrich-1,Christoph Ulrich,Unknown
fl:ke_ln:kim-113,Kevin Weejoung Kim,Unknown
fl:eu_ln:kim-82,Eun Kyung Kim,Unknown
fl:ma_ln:sperling-4,Matthew Niven Sperling,Unknown
000ua1xlntucefomeaptsceea,"William Mark Flintoff, Jr.",Unknown
fl:da_ln:weitz-1,David A. Weitz,Unknown
fl:be_ln:pelletier-5,Benoit Pelletier,Unknown
fl:jo_ln:lee-420,Jong S. Lee,Unknown
fl:sh_ln:nakamura-88,Shigeru Nakamura,Unknown
fl:jo_ln:daniel-8,John Daniel,Unknown
fl:ke_ln:ito-37,Kenji Ito,Unknown
fl:gi_ln:yuval-1,Gideon A. Yuval,Unknown
fl:ja_ln:lee-333,James S. W. Lee,Unknown
fl:da_ln:johnston-32,David F. Johnston,Unknown
fl:ro_ln:macneill-1,Robert MacNeill,Unknown
fl:al_ln:watfa-1,Allie K. Watfa,Unknown
fl:yi_ln:zheng-23,Ying Zheng,Unknown
fl:ch_ln:wu-266,Chia-Chin Wu,Unknown
fl:ma_ln:stocker-3,Mark Andrew Stocker,Unknown
fl:an_ln:mansencal-1,Antoine Mansencal,Unknown
fl:yo_ln:kobayashi-76,Youhei Kobayashi,Unknown
fl:fr_ln:duhay-1,Francis G. Duhay,Unknown
fl:hu_ln:thompson-4,Hugh A. Thompson,Unknown
fl:ji_ln:lee-77,Ji Hyun Lee,Unknown
fl:fl_ln:cosandier-1,Florent Cosandier,Unknown
fl:ra_ln:wynn-2,"Ray Wynn, Jr.",Unknown
fl:ma_ln:tell-2,Mayo B. Tell,Unknown
fl:ki_ln:kovi-1,Kiran Kumar Kovi,Unknown
fl:hi_ln:iimura-1,Hiroshi Iimura,Unknown
fl:ga_ln:rayburn-1,Gary L. Rayburn,Unknown
fl:ma_ln:kupryushkin-1,Maxim Kupryushkin,Unknown
fl:jo_ln:mola-2,Jordi Mola,Unknown
fl:ni_ln:stebbins-2,Nicholas David Stebbins,Unknown
fl:we_ln:ji-29,Wei Ji,Unknown
fl:he_ln:candello-1,Heloisa Caroline De Souza Pereira Candello,Unknown
fl:ro_ln:chaput-3,Robert Chaput,Unknown
fl:jo_ln:kim-205,Jong Ho Kim,Unknown
fl:to_ln:edwards-1,Todd S. Edwards,Unknown
fl:jo_ln:baldridge-2,John W. Baldridge,Unknown
fl:ju_ln:barthelme-3,Juergen Barthelme,Unknown
fl:to_ln:woolf-1,Tod M. Woolf,Unknown
fl:sh_ln:vandermerwe-1,Shawn Van Der Merwe,Unknown
fl:ji_ln:gu-57,Ji-An Gu,Unknown
fl:al_ln:knoch-2,Alexander Knoch,Unknown
fl:jo_ln:kang-56,Jong Hyuk Kang,Unknown
fl:pe_ln:silbernagel-1,Peter Silbernagel,Unknown
